UF,Municipio,ibgeID
RO,Alta Floresta D Oeste,1100015
RO,Ariquemes,1100023
RO,Cabixi,1100031
RO,Cacoal,1100049
RO,Cerejeiras,1100056
RO,Colorado do Oeste,1100064
RO,Corumbiara,1100072
RO,Costa Marques,1100080
RO,Espigao D Oeste,1100098
RO,Guajara-Mirim,1100106
RO,Jaru,1100114
RO,Ji-Parana,1100122
RO,Machadinho D Oeste,1100130
RO,Nova Brasilandia D Oeste,1100148
RO,Ouro Preto do Oeste,1100155
RO,Pimenta Bueno,1100189
RO,Porto Velho,1100205
RO,Presidente Medici,1100254
RO,Rio Crespo,1100262
RO,Rolim de Moura,1100288
RO,Santa Luzia D Oeste,1100296
RO,Vilhena,1100304
RO,Sao Miguel do Guapore,1100320
RO,Nova Mamore,1100338
RO,Alvorada D Oeste,1100346
RO,Alto Alegre dos Parecis,1100379
RO,Alto Paraiso,1100403
RO,Buritis,1100452
RO,Novo Horizonte do Oeste,1100502
RO,Cacaulandia,1100601
RO,Campo Novo de Rondonia,1100700
RO,Candeias do Jamari,1100809
RO,Castanheiras,1100908
RO,Chupinguaia,1100924
RO,Cujubim,1100940
RO,Governador Jorge Teixeira,1101005
RO,Itapua do Oeste,1101104
RO,Ministro Andreazza,1101203
RO,Mirante da Serra,1101302
RO,Monte Negro,1101401
RO,Nova Uniao,1101435
RO,Parecis,1101450
RO,Pimenteiras do Oeste,1101468
RO,Primavera de Rondonia,1101476
RO,Sao Felipe D Oeste,1101484
RO,Sao Francisco do Guapore,1101492
RO,Seringueiras,1101500
RO,Teixeiropolis,1101559
RO,Theobroma,1101609
RO,Urupa,1101708
RO,Vale do Anari,1101757
RO,Vale do Paraiso,1101807
AC,Acrelandia,1200013
AC,Assis Brasil,1200054
AC,Brasileia,1200104
AC,Bujari,1200138
AC,Capixaba,1200179
AC,Cruzeiro do Sul,1200203
AC,Epitaciolandia,1200252
AC,Feijo,1200302
AC,Jordao,1200328
AC,Mancio Lima,1200336
AC,Manoel Urbano,1200344
AC,Marechal Thaumaturgo,1200351
AC,Placido de Castro,1200385
AC,Porto Walter,1200393
AC,Rio Branco,1200401
AC,Rodrigues Alves,1200427
AC,Santa Rosa do Purus,1200435
AC,Senador Guiomard,1200450
AC,Sena Madureira,1200500
AC,Tarauaca,1200609
AC,Xapuri,1200708
AC,Porto Acre,1200807
AM,Alvaraes,1300029
AM,Amatura,1300060
AM,Anama,1300086
AM,Anori,1300102
AM,Apui,1300144
AM,Atalaia do Norte,1300201
AM,Autazes,1300300
AM,Barcelos,1300409
AM,Barreirinha,1300508
AM,Benjamin Constant,1300607
AM,Beruri,1300631
AM,Boa Vista do Ramos,1300680
AM,Boca do Acre,1300706
AM,Borba,1300805
AM,Caapiranga,1300839
AM,Canutama,1300904
AM,Carauari,1301001
AM,Careiro,1301100
AM,Careiro da Varzea,1301159
AM,Coari,1301209
AM,Codajas,1301308
AM,Eirunepe,1301407
AM,Envira,1301506
AM,Fonte Boa,1301605
AM,Guajara,1301654
AM,Humaita,1301704
AM,Ipixuna,1301803
AM,Iranduba,1301852
AM,Itacoatiara,1301902
AM,Itamarati,1301951
AM,Itapiranga,1302009
AM,Japura,1302108
AM,Jurua,1302207
AM,Jutai,1302306
AM,Labrea,1302405
AM,Manacapuru,1302504
AM,Manaquiri,1302553
AM,Manaus,1302603
AM,Manicore,1302702
AM,Maraa,1302801
AM,Maues,1302900
AM,Nhamunda,1303007
AM,Nova Olinda do Norte,1303106
AM,Novo Airao,1303205
AM,Novo Aripuana,1303304
AM,Parintins,1303403
AM,Pauini,1303502
AM,Presidente Figueiredo,1303536
AM,Rio Preto da Eva,1303569
AM,Santa Isabel do Rio Negro,1303601
AM,Santo Antonio do Ica,1303700
AM,Sao Gabriel da Cachoeira,1303809
AM,Sao Paulo de Olivenca,1303908
AM,Sao Sebastiao do Uatuma,1303957
AM,Silves,1304005
AM,Tabatinga,1304062
AM,Tapaua,1304104
AM,Tefe,1304203
AM,Tonantins,1304237
AM,Uarini,1304260
AM,Urucara,1304302
AM,Urucurituba,1304401
RR,Amajari,1400027
RR,Alto Alegre,1400050
RR,Boa Vista,1400100
RR,Bonfim,1400159
RR,Canta,1400175
RR,Caracarai,1400209
RR,Caroebe,1400233
RR,Iracema,1400282
RR,Mucajai,1400308
RR,Normandia,1400407
RR,Pacaraima,1400456
RR,Rorainopolis,1400472
RR,Sao Joao da Baliza,1400506
RR,Sao Luiz,1400605
RR,Uiramuta,1400704
PA,Abaetetuba,1500107
PA,Abel Figueiredo,1500131
PA,Acara,1500206
PA,Afua,1500305
PA,Agua Azul do Norte,1500347
PA,Alenquer,1500404
PA,Almeirim,1500503
PA,Altamira,1500602
PA,Anajas,1500701
PA,Ananindeua,1500800
PA,Anapu,1500859
PA,Augusto Correa,1500909
PA,Aurora do Para,1500958
PA,Aveiro,1501006
PA,Bagre,1501105
PA,Baiao,1501204
PA,Bannach,1501253
PA,Barcarena,1501303
PA,Belem,1501402
PA,Belterra,1501451
PA,Benevides,1501501
PA,Bom Jesus do Tocantins,1501576
PA,Bonito,1501600
PA,Braganca,1501709
PA,Brasil Novo,1501725
PA,Brejo Grande do Araguaia,1501758
PA,Breu Branco,1501782
PA,Breves,1501808
PA,Bujaru,1501907
PA,Cachoeira do Piria,1501956
PA,Cachoeira do Arari,1502004
PA,Cameta,1502103
PA,Canaa dos Carajas,1502152
PA,Capanema,1502202
PA,Capitao Poco,1502301
PA,Castanhal,1502400
PA,Chaves,1502509
PA,Colares,1502608
PA,Conceicao do Araguaia,1502707
PA,Concordia do Para,1502756
PA,Cumaru do Norte,1502764
PA,Curionopolis,1502772
PA,Curralinho,1502806
PA,Curua,1502855
PA,Curuca,1502905
PA,Dom Eliseu,1502939
PA,Eldorado do Carajas,1502954
PA,Faro,1503002
PA,Floresta do Araguaia,1503044
PA,Garrafao do Norte,1503077
PA,Goianesia do Para,1503093
PA,Gurupa,1503101
PA,Igarape-Acu,1503200
PA,Igarape-Miri,1503309
PA,Inhangapi,1503408
PA,Ipixuna do Para,1503457
PA,Irituia,1503507
PA,Itaituba,1503606
PA,Itupiranga,1503705
PA,Jacareacanga,1503754
PA,Jacunda,1503804
PA,Juruti,1503903
PA,Limoeiro do Ajuru,1504000
PA,Mae do Rio,1504059
PA,Magalhaes Barata,1504109
PA,Maraba,1504208
PA,Maracana,1504307
PA,Marapanim,1504406
PA,Marituba,1504422
PA,Medicilandia,1504455
PA,Melgaco,1504505
PA,Mocajuba,1504604
PA,Moju,1504703
PA,Mojui dos Campos,1504752
PA,Monte Alegre,1504802
PA,Muana,1504901
PA,Nova Esperanca do Piria,1504950
PA,Nova Ipixuna,1504976
PA,Nova Timboteua,1505007
PA,Novo Progresso,1505031
PA,Novo Repartimento,1505064
PA,Obidos,1505106
PA,Oeiras do Para,1505205
PA,Oriximina,1505304
PA,Ourem,1505403
PA,Ourilandia do Norte,1505437
PA,Pacaja,1505486
PA,Palestina do Para,1505494
PA,Paragominas,1505502
PA,Parauapebas,1505536
PA,Pau D Arco,1505551
PA,Peixe-Boi,1505601
PA,Picarra,1505635
PA,Placas,1505650
PA,Ponta de Pedras,1505700
PA,Portel,1505809
PA,Porto de Moz,1505908
PA,Prainha,1506005
PA,Primavera,1506104
PA,Quatipuru,1506112
PA,Redencao,1506138
PA,Rio Maria,1506161
PA,Rondon do Para,1506187
PA,Ruropolis,1506195
PA,Salinopolis,1506203
PA,Salvaterra,1506302
PA,Santa Barbara do Para,1506351
PA,Santa Cruz do Arari,1506401
PA,Santa Izabel do Para,1506500
PA,Santa Luzia do Para,1506559
PA,Santa Maria das Barreiras,1506583
PA,Santa Maria do Para,1506609
PA,Santana do Araguaia,1506708
PA,Santarem,1506807
PA,Santarem Novo,1506906
PA,Santo Antonio do Taua,1507003
PA,Sao Caetano de Odivelas,1507102
PA,Sao Domingos do Araguaia,1507151
PA,Sao Domingos do Capim,1507201
PA,Sao Felix do Xingu,1507300
PA,Sao Francisco do Para,1507409
PA,Sao Geraldo do Araguaia,1507458
PA,Sao Joao da Ponta,1507466
PA,Sao Joao de Pirabas,1507474
PA,Sao Joao do Araguaia,1507508
PA,Sao Miguel do Guama,1507607
PA,Sao Sebastiao da Boa Vista,1507706
PA,Sapucaia,1507755
PA,Senador Jose Porfirio,1507805
PA,Soure,1507904
PA,Tailandia,1507953
PA,Terra Alta,1507961
PA,Terra Santa,1507979
PA,Tome-Acu,1508001
PA,Tracuateua,1508035
PA,Trairao,1508050
PA,Tucuma,1508084
PA,Tucurui,1508100
PA,Ulianopolis,1508126
PA,Uruara,1508159
PA,Vigia,1508209
PA,Viseu,1508308
PA,Vitoria do Xingu,1508357
PA,Xinguara,1508407
AP,Serra do Navio,1600055
AP,Amapa,1600105
AP,Pedra Branca do Amapari,1600154
AP,Calcoene,1600204
AP,Cutias,1600212
AP,Ferreira Gomes,1600238
AP,Itaubal,1600253
AP,Laranjal do Jari,1600279
AP,Macapa,1600303
AP,Mazagao,1600402
AP,Oiapoque,1600501
AP,Porto Grande,1600535
AP,Pracuuba,1600550
AP,Santana,1600600
AP,Tartarugalzinho,1600709
AP,Vitoria do Jari,1600808
TO,Abreulandia,1700251
TO,Aguiarnopolis,1700301
TO,Alianca do Tocantins,1700350
TO,Almas,1700400
TO,Alvorada,1700707
TO,Ananas,1701002
TO,Angico,1701051
TO,Aparecida do Rio Negro,1701101
TO,Aragominas,1701309
TO,Araguacema,1701903
TO,Araguacu,1702000
TO,Araguaina,1702109
TO,Araguana,1702158
TO,Araguatins,1702208
TO,Arapoema,1702307
TO,Arraias,1702406
TO,Augustinopolis,1702554
TO,Aurora do Tocantins,1702703
TO,Axixa do Tocantins,1702901
TO,Babaculandia,1703008
TO,Bandeirantes do Tocantins,1703057
TO,Barra do Ouro,1703073
TO,Barrolandia,1703107
TO,Bernardo Sayao,1703206
TO,Bom Jesus do Tocantins,1703305
TO,Brasilandia do Tocantins,1703602
TO,Brejinho de Nazare,1703701
TO,Buriti do Tocantins,1703800
TO,Cachoeirinha,1703826
TO,Campos Lindos,1703842
TO,Cariri do Tocantins,1703867
TO,Carmolandia,1703883
TO,Carrasco Bonito,1703891
TO,Caseara,1703909
TO,Centenario,1704105
TO,Chapada de Areia,1704600
TO,Chapada da Natividade,1705102
TO,Colinas do Tocantins,1705508
TO,Combinado,1705557
TO,Conceicao do Tocantins,1705607
TO,Couto Magalhaes,1706001
TO,Cristalandia,1706100
TO,Crixas do Tocantins,1706258
TO,Darcinopolis,1706506
TO,Dianopolis,1707009
TO,Divinopolis do Tocantins,1707108
TO,Dois Irmaos do Tocantins,1707207
TO,Duere,1707306
TO,Esperantina,1707405
TO,Fatima,1707553
TO,Figueiropolis,1707652
TO,Filadelfia,1707702
TO,Formoso do Araguaia,1708205
TO,Fortaleza do Tabocao,1708254
TO,Goianorte,1708304
TO,Goiatins,1709005
TO,Guarai,1709302
TO,Gurupi,1709500
TO,Ipueiras,1709807
TO,Itacaja,1710508
TO,Itaguatins,1710706
TO,Itapiratins,1710904
TO,Itapora do Tocantins,1711100
TO,Jau do Tocantins,1711506
TO,Juarina,1711803
TO,Lagoa da Confusao,1711902
TO,Lagoa do Tocantins,1711951
TO,Lajeado,1712009
TO,Lavandeira,1712157
TO,Lizarda,1712405
TO,Luzinopolis,1712454
TO,Marianopolis do Tocantins,1712504
TO,Mateiros,1712702
TO,Maurilandia do Tocantins,1712801
TO,Miracema do Tocantins,1713205
TO,Miranorte,1713304
